TaskBoardID,Discord ID,Verified,Moniker,Submission Link,Last Date Updated,filename,size
4373,maxfil#6029,Accepted,Maxfil,Submitted Maxfil-agorictest17-chain.slog.gz,2021-08-26 10:00:00,2021-08-26T13:38:50.575Z-maxfil#6029.slog.gz,1480545871.0
4481,medium#7343,Accepted,medium,"Tried to upload slog file via https://submit.agoric.app, but the upload process just stopped after an hour, so I uploaded it to Google Drive instead: https://drive.google.com/drive/folders/1MbJO3UoezfXQX5TRU6u-yI17ttg4P12e?usp=sharing",2021-08-26 14:48:00,2021-08-26T17:29:13.609Z-medium#7343.slog.gz,1594047768.0
4584,mirxl#0530,Accepted,mirxl,https://submit.agoric.app<br />2021-08-27T12:00:56.385Z-mirxl#0530.slog.gz<br /><br /><br />https://mega.nz/file/wRhwCQLa#TsyFGkjIoo3uO47FnglrUYrfxZRvqgDUNxO8CPavcjk,2021-08-27 10:18:00,2021-08-27T12:00:56.385Z-mirxl#0530.slog.gz,3925214742.0
4565,paddyson#5479,Accepted,pathrocknetwork,Link to my slog file - chain-17.pathrocknetwork<br />https://drive.google.com/file/d/1vS1mvxFJBYETCL51Kj2_qtFJfYji3vex/view?usp=sharing,2021-08-27 04:20:00,2021-08-28T05:34:31.973Z-paddyson#5479.slog.gz,1955047404.0
4241,pfrp#1964,Accepted,EarnX,Task completed.<br />Submited file: Earnx-agorictest17-chain.slog.bz2,2021-08-25 22:08:00,2021-08-27T04:12:28.528Z-pfrp#1964.slog.gz,964869285.0
4535,sebytza05#9060,Accepted,sebytza05,sebytza05,2021-08-26 18:03:00,2021-08-27T10:27:06.530Z-sebytza05#9060.slog.gz,6039130.0
4336,#0485,In review,AlphaBravo,Complete,2021-08-26 08:05:00,,
4610,13610152128#5923,In review,nodestradamus,nodestradamus-agorictest17-chain.slog.gz,2021-08-27 15:41:00,,
4629,86b#6313,In review,oraclegen,https://agoric.s3.us-east-2.amazonaws.com/oraclegen-agorictest17-chain.slog,2021-08-27 19:48:00,,
4389,@calin_stakeborg,In review,Stakeborg,Slog file uploaded on https://submit.agoric.app/participant/slogForm.,2021-08-26 10:52:00,,
4504,AndreyRudi#2065,In review,rudolfhe-55,https://storage.nodes.guru/rudolfhe-55-agorictest17-chain.gz,2021-08-26 15:51:00,,
4398,ColinkaMalinka#1565,In review,ColinkaMalinka,https://disk.yandex.by/d/PdcjuyhLCYgIFw,2021-08-26 11:12:00,,
4611,CreATivE8536#5039,In review,isavazh,Validator: isavazh<br /><br />https://www.dropbox.com/s/86biogq5lc8u2fo/isavazh-agorictest17-chain.slog.tar.gz?dl=0,2021-08-27 15:47:00,,
4418,Danil Ushakov#5735,In review,ushakov,https://drive.google.com/file/d/19QPpwKpB7E999EbPYoGUYhz0e0vSRZg2/view?usp=sharing,2021-08-26 11:37:00,,
4478,EdwardMorra#5755,In review,EdwardMorra,"I've uploaded the file to your portal but since there is no way to know if that was successful I decided to upload it to dropbox as well, find the link below:<br /><br />https://www.dropbox.com/s/j7a2y8uslis66vx/EdwardMorra-agorictest17-chain.slog.zip?dl=0",2021-08-26 14:37:00,,
4263,ElNiñoZumbao#8451,In review,JoseCT,"Done<br /><br />If you didn't receive it, please use this URL: https://drive.google.com/file/d/1FwgUqrZ5Koc-Wotbt-qjMGsE_dWDIC57/view?usp=sharing",2021-08-26 03:11:00,,
