,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
74,3801,Trader_Payne#4602,Payne,Obsolete,True,2021-08-17 15:46:00,,
75,3817,Trader_Payne#4602,Payne,Completed,False,2021-08-18 22:41:00,Payne,agoric192mgs0rylp87gntkwgwu3y6hm2wk3tf8323wxl
76,3710,VanSanten#2039,VanSanten,Completed,False,2021-08-16 18:34:00,VanSanten,agoric1nt0hzd5rsydt64jj3t4zxh8dmd53mez3n98rd6
77,3790,Vitalii#9679,btsniik,Completed,False,2021-08-17 13:46:00,btsniik,agoric19d3jtahs3p4nll46z3gk4gpzh9sq4e3ws5wgqr
78,3712,Vitconratran#7219,botd0tnet,Completed,False,2021-08-16 19:57:00,botd0tnet,agoric14hx48zjnfrf0uuxzhgxc2wj6z5ttx9m2nrl42n
79,3769,Víctor | melea#9821,webex,Completed,False,2021-08-17 12:04:00,webex,agoric1dsk0uuz6whqnv4d6tj2n20s2va3m0c9uza6qpl
80,3694,Wanderer#1042,Wanderer,Obsolete,False,2021-08-16 15:49:00,Wanderer,agoric12f68u55eqqsnrxed7z63vz52d4grffnvnexles
81,3695,Wanderer#1042,Wanderer,Completed,False,2021-08-16 15:52:00,Wanderer,agoric12f68u55eqqsnrxed7z63vz52d4grffnvnexles
82,3758,Waves#9228,wave,Completed,False,2021-08-17 11:21:00,wave,agoric1tcu58uksffa803dgkyxeta4pny9ryfuxa08ufu
83,3713,YH | StakeWithUs#6077,StakeWithUs,Completed,False,2021-08-16 21:37:00,StakeWithUs,agoric1j4jrjp920vfdus234300p8c0eg2zakznurju7m
84,3799,YOLO#2749,Va1id8,Completed,False,2021-08-17 15:17:00,Va1id8,agoric1grnzht8z4vnj4pl7swvdvl5jujunj69d6s0pkw
85,3846,Yauheni#2576,Shon1256,Completed,False,2021-08-19 11:26:00,Shon1256,agoric1fz3s9a0fy5ga89a8vly7kj0dkty72dvwnzh9am
